"name","mention"
"chatgpt",3513
"ai",2215
"https",1496
"scientist",1177
"researcher",702
"python",681
"web3",579
"iot",568
"ar",559
"metaverse",556
"artificialintelligence",484
"data",386
"tech",383
"meta",370
"chief",367
"intelligence",357
"metas",308
"technology",305
"gpt",300
