name,mention2022,mention2023
python,86,47
javascript,468,201
ruby,38,37
rust,38,19
java,20,11
typescript,56, 35
elixir,6,4
crystal,4,0
lisp,4,0
kotlin,4,6
scala,2,0
dart,4,0
go,30,16
sql,14,7
php,10,6
haskell,2,1
swift,4,5
groovy,2,0
clojure,2,1
c,4,1
solidity,2,0
perl,0,2
assembly,0,2
gdscript,0,1
r,0,1
cobol,0,1
