name,mention2022,mention2023
python,10.75,11.63
javascript,58.5,49.75
ruby,4.75,9.16
rust,4.75,4.70
java,2.5,2.72
typescript,7,8.66
elixir,0.75,0.99
crystal,0.5,0.00
lisp,0.5,0.00
kotlin,0.5,1.49
scala,0.25,0.00
dart,0.5,0.00
go,3.75,3.96
sql,1.75,1.73
php,1.25,1.49
haskell,0.25,0.25
swift,0.5,1.24
groovy,0.25,0.00
clojure,0.25,0.25
c,0.5,0.25
solidity,0.25,0.00
perl,0,0.50
assembly,0,0.50
gdscript,0,0.25
r,0,0.25
cobol,0,0.25
